,Kmeans from PCA,Scaffold Split,Kmeans of Scaffold Split
196,3.0,0.0,2.0
197,3.0,0.0,2.0
198,1.0,0.0,0.0
199,1.0,0.0,0.0
200,3.0,0.0,2.0
201,1.0,0.0,0.0
202,1.0,2.0,0.0
203,3.0,0.0,2.0
204,3.0,0.0,2.0
205,3.0,0.0,2.0
206,1.0,0.0,0.0
207,1.0,0.0,0.0
208,1.0,0.0,0.0
209,1.0,0.0,0.0
210,3.0,0.0,2.0
211,1.0,2.0,0.0
212,1.0,0.0,0.0
213,1.0,0.0,0.0
214,1.0,0.0,0.0
215,3.0,0.0,2.0
216,1.0,0.0,0.0
217,1.0,0.0,0.0
218,1.0,0.0,0.0
219,4.0,0.0,3.0
220,3.0,0.0,2.0
221,1.0,0.0,0.0
222,1.0,0.0,0.0
223,1.0,0.0,0.0
224,3.0,0.0,2.0
225,1.0,0.0,0.0
226,1.0,0.0,0.0
227,3.0,0.0,2.0
228,1.0,0.0,0.0
229,1.0,0.0,0.0
230,1.0,0.0,0.0
231,1.0,0.0,0.0
232,4.0,0.0,3.0
233,1.0,0.0,0.0
234,4.0,0.0,3.0
235,3.0,0.0,2.0
236,1.0,0.0,0.0
237,1.0,0.0,0.0
238,3.0,0.0,2.0
239,1.0,0.0,0.0
240,1.0,0.0,0.0
241,1.0,0.0,0.0
242,1.0,0.0,0.0
243,3.0,0.0,2.0
244,1.0,0.0,0.0
245,0.0,0.0,4.0
246,3.0,0.0,2.0
247,4.0,0.0,3.0
248,3.0,0.0,2.0
249,3.0,0.0,2.0
250,2.0,0.0,1.0
251,3.0,0.0,2.0
252,1.0,0.0,0.0
253,3.0,0.0,2.0
254,1.0,0.0,0.0
255,1.0,0.0,0.0
256,1.0,0.0,0.0
257,1.0,0.0,0.0
258,1.0,0.0,0.0
259,1.0,0.0,0.0
260,3.0,0.0,2.0
261,1.0,0.0,0.0
262,1.0,0.0,0.0
263,1.0,0.0,0.0
264,1.0,0.0,0.0
265,1.0,0.0,0.0
266,2.0,0.0,1.0
267,1.0,0.0,0.0
268,3.0,0.0,2.0
269,3.0,0.0,2.0
270,3.0,0.0,2.0
271,1.0,0.0,0.0
272,4.0,0.0,3.0
273,1.0,0.0,0.0
274,3.0,0.0,2.0
275,1.0,0.0,0.0
276,1.0,0.0,0.0
277,1.0,0.0,0.0
278,1.0,0.0,0.0
279,4.0,0.0,3.0
280,1.0,0.0,0.0
281,3.0,0.0,2.0
282,3.0,0.0,2.0
283,1.0,2.0,0.0
284,1.0,0.0,0.0
285,1.0,0.0,0.0
286,1.0,2.0,0.0
287,3.0,0.0,2.0
288,1.0,0.0,0.0
289,1.0,0.0,0.0
290,3.0,0.0,2.0
291,3.0,0.0,2.0
292,1.0,0.0,0.0
293,1.0,0.0,0.0
294,1.0,0.0,0.0
295,1.0,0.0,0.0
296,3.0,0.0,2.0
297,1.0,0.0,0.0
298,1.0,2.0,0.0
299,1.0,0.0,0.0
300,1.0,0.0,0.0
301,1.0,0.0,0.0
302,1.0,0.0,0.0
303,1.0,0.0,0.0
304,1.0,0.0,0.0
305,1.0,0.0,0.0
306,1.0,0.0,0.0
307,1.0,0.0,0.0
308,1.0,0.0,0.0
309,1.0,0.0,0.0
310,4.0,0.0,3.0
311,1.0,0.0,0.0
312,1.0,0.0,0.0
313,1.0,0.0,0.0
314,1.0,0.0,0.0
315,1.0,0.0,0.0
316,1.0,0.0,0.0
317,1.0,0.0,0.0
318,1.0,0.0,0.0
319,1.0,0.0,0.0
320,1.0,0.0,0.0
321,1.0,0.0,0.0
322,1.0,0.0,0.0
323,1.0,0.0,0.0
324,1.0,0.0,0.0
325,1.0,0.0,0.0
326,1.0,0.0,0.0
327,1.0,0.0,0.0
328,1.0,0.0,0.0
329,3.0,0.0,2.0
330,1.0,0.0,0.0
331,1.0,0.0,0.0
332,1.0,0.0,0.0
333,1.0,0.0,0.0
334,1.0,0.0,0.0
335,1.0,0.0,0.0
336,3.0,0.0,2.0
337,1.0,0.0,0.0
338,4.0,0.0,3.0
339,1.0,0.0,0.0
340,4.0,0.0,3.0
341,3.0,0.0,2.0
342,1.0,0.0,0.0
343,1.0,0.0,0.0
344,1.0,0.0,0.0
345,1.0,0.0,0.0
346,1.0,0.0,0.0
347,1.0,0.0,0.0
348,1.0,0.0,0.0
349,1.0,0.0,0.0
350,1.0,0.0,0.0
351,1.0,0.0,0.0
352,1.0,0.0,0.0
353,1.0,0.0,0.0
354,1.0,0.0,0.0
355,3.0,0.0,2.0
356,1.0,0.0,0.0
357,3.0,0.0,2.0
358,1.0,0.0,0.0
359,1.0,0.0,0.0
360,3.0,0.0,2.0
361,1.0,0.0,0.0
362,1.0,0.0,0.0
363,1.0,0.0,0.0
364,1.0,0.0,0.0
365,1.0,0.0,0.0
366,1.0,0.0,0.0
367,1.0,0.0,0.0
368,1.0,0.0,0.0
369,3.0,0.0,2.0
370,3.0,0.0,2.0
371,1.0,0.0,0.0
372,3.0,0.0,2.0
373,1.0,0.0,0.0
374,1.0,0.0,0.0
375,3.0,0.0,2.0
376,3.0,0.0,2.0
377,1.0,0.0,0.0
378,1.0,0.0,0.0
379,3.0,0.0,2.0
380,1.0,0.0,0.0
381,1.0,0.0,0.0
382,3.0,0.0,2.0
383,1.0,0.0,0.0
384,1.0,0.0,0.0
385,1.0,0.0,0.0
386,1.0,0.0,0.0
387,1.0,0.0,0.0
388,4.0,0.0,3.0
389,1.0,0.0,0.0
390,1.0,0.0,0.0
391,1.0,0.0,0.0
392,1.0,0.0,0.0
393,1.0,0.0,0.0
394,3.0,0.0,2.0
395,1.0,0.0,0.0
396,1.0,0.0,0.0
397,1.0,0.0,0.0
398,1.0,0.0,0.0
399,3.0,0.0,2.0
400,1.0,0.0,0.0
401,1.0,0.0,0.0
402,1.0,0.0,0.0
403,1.0,0.0,0.0
404,3.0,0.0,2.0
405,1.0,0.0,0.0
406,1.0,0.0,0.0
407,1.0,0.0,0.0
408,1.0,0.0,0.0
409,1.0,0.0,0.0
410,1.0,0.0,0.0
411,3.0,0.0,2.0
412,3.0,0.0,2.0
413,1.0,0.0,0.0
414,3.0,0.0,2.0
415,3.0,0.0,2.0
416,3.0,0.0,2.0
417,1.0,0.0,0.0
418,1.0,0.0,0.0
419,3.0,0.0,2.0
420,1.0,0.0,0.0
421,1.0,0.0,0.0
422,3.0,0.0,2.0
423,1.0,0.0,0.0
424,1.0,0.0,0.0
425,1.0,0.0,0.0
426,1.0,0.0,0.0
427,4.0,0.0,3.0
428,1.0,0.0,0.0
429,1.0,0.0,0.0
430,1.0,0.0,0.0
431,1.0,0.0,0.0
432,1.0,0.0,0.0
433,1.0,0.0,0.0
434,1.0,0.0,0.0
435,3.0,0.0,2.0
436,4.0,0.0,3.0
437,1.0,0.0,0.0
438,1.0,0.0,0.0
439,1.0,0.0,0.0
440,1.0,0.0,0.0
441,1.0,0.0,0.0
442,2.0,0.0,1.0
443,1.0,0.0,0.0
444,1.0,0.0,0.0
445,1.0,0.0,0.0
446,3.0,0.0,2.0
447,1.0,0.0,0.0
448,1.0,0.0,0.0
449,3.0,0.0,2.0
450,3.0,0.0,2.0
451,3.0,0.0,2.0
452,3.0,0.0,0.0
453,1.0,0.0,0.0
454,2.0,0.0,1.0
455,1.0,0.0,0.0
456,3.0,0.0,2.0
457,1.0,0.0,0.0
458,1.0,0.0,0.0
459,1.0,0.0,0.0
460,3.0,0.0,2.0
461,1.0,0.0,0.0
462,1.0,0.0,0.0
463,3.0,0.0,2.0
464,1.0,0.0,0.0
465,1.0,0.0,0.0
466,1.0,0.0,0.0
467,1.0,0.0,0.0
468,1.0,0.0,0.0
469,1.0,0.0,0.0
470,1.0,0.0,0.0
471,3.0,0.0,2.0
472,1.0,0.0,0.0
473,1.0,0.0,0.0
474,1.0,0.0,0.0
475,3.0,0.0,2.0
476,1.0,0.0,0.0
477,1.0,0.0,0.0
478,1.0,0.0,0.0
479,1.0,0.0,0.0
480,3.0,0.0,2.0
481,1.0,0.0,0.0
482,1.0,0.0,0.0
483,1.0,0.0,0.0
484,1.0,0.0,0.0
485,1.0,0.0,0.0
486,3.0,0.0,2.0
487,3.0,0.0,2.0
488,1.0,0.0,0.0
489,1.0,0.0,0.0
490,1.0,0.0,0.0
491,3.0,0.0,2.0
492,1.0,0.0,0.0
493,3.0,0.0,2.0
494,1.0,0.0,0.0
495,1.0,0.0,0.0
496,4.0,0.0,3.0
497,1.0,0.0,0.0
498,1.0,0.0,0.0
499,3.0,0.0,2.0
500,1.0,0.0,0.0
501,1.0,0.0,0.0
502,1.0,0.0,0.0
503,2.0,0.0,1.0
504,4.0,0.0,3.0
505,1.0,0.0,0.0
506,1.0,0.0,0.0
507,3.0,0.0,2.0
508,1.0,0.0,0.0
509,1.0,0.0,0.0
510,1.0,0.0,0.0
511,1.0,0.0,0.0
512,1.0,0.0,0.0
513,3.0,0.0,2.0
514,1.0,0.0,0.0
515,3.0,0.0,2.0
516,1.0,0.0,0.0
517,1.0,0.0,0.0
518,1.0,0.0,0.0
519,3.0,0.0,2.0
520,1.0,0.0,0.0
521,3.0,0.0,2.0
522,1.0,0.0,0.0
523,4.0,0.0,3.0
524,1.0,0.0,0.0
525,1.0,0.0,0.0
526,1.0,0.0,0.0
527,3.0,0.0,2.0
528,1.0,0.0,0.0
529,1.0,0.0,0.0
530,1.0,0.0,0.0
531,1.0,0.0,0.0
532,1.0,0.0,0.0
533,1.0,0.0,0.0
534,3.0,0.0,2.0
535,1.0,0.0,0.0
536,1.0,0.0,0.0
537,3.0,0.0,2.0
538,1.0,0.0,0.0
539,1.0,0.0,0.0
540,1.0,0.0,0.0
541,1.0,0.0,0.0
542,1.0,0.0,0.0
543,1.0,0.0,0.0
544,3.0,0.0,2.0
545,1.0,0.0,0.0
546,1.0,0.0,0.0
547,1.0,0.0,0.0
548,1.0,0.0,0.0
549,1.0,0.0,0.0
550,1.0,0.0,0.0
551,1.0,0.0,0.0
552,1.0,0.0,0.0
553,1.0,0.0,0.0
554,1.0,0.0,0.0
555,1.0,0.0,0.0
556,1.0,0.0,0.0
557,1.0,0.0,0.0
558,1.0,0.0,0.0
559,1.0,0.0,0.0
560,4.0,0.0,3.0
561,4.0,0.0,3.0
562,1.0,0.0,0.0
563,3.0,0.0,2.0
564,3.0,0.0,2.0
565,1.0,0.0,0.0
566,1.0,0.0,0.0
567,4.0,0.0,3.0
568,3.0,0.0,2.0
569,4.0,0.0,3.0
570,1.0,0.0,0.0
571,4.0,0.0,3.0
572,4.0,0.0,3.0
573,4.0,0.0,3.0
574,1.0,0.0,0.0
575,1.0,0.0,0.0
576,1.0,0.0,0.0
577,4.0,0.0,3.0
578,1.0,0.0,0.0
579,3.0,0.0,2.0
580,4.0,0.0,3.0
581,4.0,0.0,3.0
582,4.0,0.0,3.0
583,4.0,0.0,3.0
584,4.0,0.0,3.0
585,4.0,0.0,3.0
586,4.0,0.0,3.0
587,3.0,0.0,2.0
588,4.0,0.0,3.0
589,4.0,0.0,3.0
590,4.0,0.0,3.0
591,4.0,0.0,3.0
592,4.0,0.0,3.0
593,4.0,0.0,3.0
594,4.0,0.0,3.0
595,4.0,0.0,3.0
596,3.0,0.0,2.0
597,4.0,0.0,3.0
598,4.0,0.0,3.0
599,4.0,0.0,3.0
600,1.0,0.0,0.0
601,1.0,0.0,0.0
602,1.0,0.0,0.0
603,2.0,0.0,1.0
604,1.0,0.0,0.0
605,3.0,0.0,2.0
606,4.0,0.0,3.0
607,2.0,0.0,1.0
608,1.0,0.0,0.0
609,1.0,0.0,0.0
610,1.0,0.0,0.0
611,3.0,0.0,2.0
612,3.0,0.0,2.0
613,1.0,0.0,0.0
614,4.0,0.0,3.0
615,4.0,0.0,3.0
616,1.0,0.0,0.0
617,1.0,0.0,0.0
618,3.0,0.0,2.0
619,4.0,0.0,3.0
620,3.0,0.0,2.0
621,3.0,0.0,2.0
622,1.0,0.0,0.0
623,1.0,0.0,0.0
624,1.0,0.0,0.0
625,1.0,0.0,0.0
626,3.0,0.0,2.0
627,1.0,0.0,0.0
628,1.0,0.0,0.0
629,1.0,0.0,0.0
630,3.0,0.0,2.0
631,1.0,0.0,0.0
632,1.0,0.0,0.0
633,1.0,0.0,0.0
634,1.0,0.0,0.0
635,3.0,0.0,2.0
636,3.0,0.0,2.0
637,1.0,0.0,0.0
638,3.0,0.0,2.0
639,1.0,0.0,0.0
640,1.0,0.0,0.0
641,3.0,0.0,2.0
642,1.0,0.0,0.0
643,1.0,0.0,0.0
644,1.0,0.0,0.0
645,3.0,0.0,2.0
646,1.0,0.0,0.0
647,1.0,0.0,0.0
648,1.0,0.0,0.0
649,1.0,0.0,0.0
650,1.0,0.0,0.0
651,1.0,0.0,0.0
652,2.0,0.0,1.0
653,1.0,0.0,0.0
654,1.0,0.0,0.0
655,3.0,0.0,2.0
656,1.0,0.0,0.0
657,1.0,0.0,0.0
658,1.0,0.0,0.0
659,3.0,0.0,2.0
660,1.0,0.0,0.0
661,1.0,0.0,0.0
662,1.0,0.0,0.0
663,1.0,0.0,0.0
664,1.0,0.0,0.0
665,3.0,0.0,2.0
666,1.0,0.0,0.0
667,1.0,0.0,0.0
668,3.0,0.0,2.0
669,3.0,0.0,2.0
670,1.0,0.0,0.0
671,1.0,0.0,3.0
672,3.0,0.0,2.0
673,3.0,0.0,2.0
674,3.0,0.0,2.0
675,3.0,0.0,2.0
676,2.0,0.0,1.0
677,3.0,0.0,2.0
678,3.0,0.0,2.0
679,1.0,0.0,0.0
680,1.0,0.0,0.0
681,1.0,0.0,0.0
682,1.0,0.0,0.0
683,1.0,0.0,0.0
684,1.0,0.0,0.0
685,1.0,0.0,0.0
686,2.0,0.0,1.0
687,1.0,0.0,0.0
688,1.0,0.0,0.0
689,1.0,0.0,0.0
690,1.0,0.0,0.0
691,1.0,0.0,0.0
692,1.0,0.0,0.0
693,1.0,0.0,0.0
694,1.0,0.0,0.0
695,3.0,0.0,2.0
696,1.0,0.0,0.0
697,1.0,0.0,0.0
698,1.0,0.0,0.0
699,3.0,0.0,2.0
700,3.0,0.0,2.0
701,1.0,0.0,0.0
702,1.0,0.0,0.0
703,3.0,0.0,2.0
704,1.0,0.0,0.0
705,1.0,0.0,0.0
706,1.0,0.0,0.0
707,1.0,0.0,0.0
708,1.0,0.0,0.0
709,1.0,0.0,0.0
710,3.0,0.0,2.0
711,4.0,0.0,3.0
712,3.0,0.0,2.0
713,1.0,0.0,0.0
714,1.0,0.0,0.0
715,1.0,0.0,0.0
716,1.0,0.0,0.0
717,1.0,0.0,0.0
718,3.0,0.0,2.0
719,1.0,0.0,0.0
720,1.0,0.0,0.0
721,1.0,0.0,0.0
722,1.0,0.0,0.0
723,1.0,0.0,0.0
724,1.0,0.0,0.0
725,1.0,0.0,0.0
726,1.0,0.0,0.0
727,1.0,0.0,0.0
728,1.0,0.0,0.0
729,1.0,0.0,0.0
730,1.0,0.0,0.0
731,1.0,0.0,0.0
732,1.0,0.0,0.0
733,1.0,0.0,0.0
734,1.0,0.0,0.0
735,1.0,0.0,0.0
736,1.0,0.0,0.0
737,1.0,0.0,0.0
738,3.0,0.0,2.0
739,1.0,0.0,0.0
740,1.0,0.0,0.0
741,1.0,0.0,0.0
742,1.0,0.0,0.0
743,3.0,0.0,2.0
744,1.0,0.0,0.0
745,1.0,0.0,0.0
746,3.0,0.0,2.0
747,3.0,0.0,2.0
748,3.0,0.0,2.0
749,3.0,0.0,2.0
750,1.0,0.0,0.0
751,3.0,0.0,2.0
752,3.0,0.0,2.0
753,1.0,0.0,0.0
754,1.0,0.0,0.0
755,3.0,0.0,2.0
756,1.0,0.0,0.0
757,3.0,0.0,2.0
758,3.0,0.0,2.0
759,3.0,0.0,2.0
760,4.0,0.0,3.0
761,1.0,0.0,0.0
762,1.0,0.0,0.0
763,1.0,0.0,0.0
764,1.0,0.0,0.0
765,1.0,0.0,0.0
766,1.0,0.0,0.0
767,1.0,0.0,0.0
768,3.0,0.0,2.0
769,1.0,0.0,0.0
770,1.0,0.0,0.0
771,2.0,0.0,1.0
772,3.0,0.0,2.0
773,1.0,0.0,0.0
774,1.0,0.0,0.0
775,3.0,0.0,2.0
776,1.0,0.0,0.0
777,3.0,0.0,2.0
778,1.0,0.0,0.0
779,3.0,0.0,2.0
780,1.0,0.0,0.0
781,3.0,0.0,2.0
782,1.0,0.0,0.0
783,3.0,0.0,2.0
784,3.0,0.0,2.0
785,3.0,0.0,2.0
786,2.0,0.0,1.0
787,2.0,0.0,1.0
788,1.0,0.0,0.0
789,3.0,0.0,2.0
790,3.0,0.0,2.0
791,3.0,0.0,2.0
792,1.0,0.0,0.0
793,1.0,0.0,0.0
794,3.0,0.0,2.0
795,3.0,0.0,2.0
796,1.0,0.0,0.0
797,3.0,0.0,2.0
798,3.0,0.0,2.0
799,2.0,0.0,1.0
800,1.0,0.0,0.0
801,1.0,0.0,0.0
802,4.0,0.0,3.0
803,1.0,0.0,0.0
804,1.0,0.0,0.0
805,1.0,0.0,0.0
806,0.0,0.0,4.0
807,1.0,0.0,0.0
808,3.0,0.0,2.0
809,1.0,0.0,0.0
810,0.0,0.0,4.0
811,1.0,0.0,0.0
812,3.0,0.0,2.0
813,1.0,0.0,0.0
814,3.0,0.0,2.0
815,1.0,0.0,0.0
816,4.0,0.0,3.0
817,4.0,0.0,3.0
818,1.0,0.0,0.0
819,1.0,0.0,0.0
820,3.0,0.0,2.0
821,1.0,0.0,0.0
822,3.0,0.0,2.0
823,1.0,0.0,0.0
824,1.0,0.0,0.0
825,3.0,0.0,2.0
826,1.0,0.0,0.0
827,1.0,0.0,0.0
828,1.0,0.0,0.0
829,4.0,0.0,3.0
830,2.0,0.0,1.0
831,2.0,0.0,1.0
832,1.0,0.0,0.0
833,4.0,0.0,3.0
834,3.0,0.0,2.0
835,2.0,0.0,1.0
836,3.0,0.0,2.0
837,4.0,0.0,3.0
838,1.0,0.0,0.0
839,3.0,0.0,2.0
840,1.0,0.0,0.0
841,3.0,0.0,2.0
842,3.0,0.0,2.0
843,3.0,0.0,2.0
844,3.0,0.0,2.0
845,3.0,0.0,2.0
846,3.0,0.0,2.0
847,1.0,0.0,0.0
848,1.0,0.0,0.0
849,1.0,0.0,0.0
850,1.0,0.0,0.0
851,1.0,0.0,0.0
852,1.0,0.0,0.0
853,1.0,0.0,0.0
854,4.0,0.0,3.0
855,1.0,0.0,0.0
856,2.0,0.0,1.0
857,1.0,0.0,0.0
858,3.0,0.0,2.0
859,1.0,0.0,0.0
860,3.0,0.0,2.0
861,3.0,0.0,2.0
862,1.0,0.0,0.0
863,3.0,0.0,2.0
864,1.0,0.0,0.0
865,1.0,0.0,0.0
866,3.0,0.0,2.0
867,3.0,0.0,2.0
868,1.0,0.0,0.0
869,1.0,0.0,0.0
870,1.0,0.0,0.0
871,3.0,0.0,2.0
872,1.0,0.0,0.0
873,3.0,0.0,2.0
874,1.0,0.0,0.0
875,1.0,0.0,0.0
876,1.0,0.0,0.0
877,3.0,0.0,2.0
878,3.0,0.0,2.0
879,1.0,0.0,0.0
880,3.0,0.0,2.0
881,1.0,0.0,0.0
882,1.0,0.0,0.0
883,1.0,0.0,0.0
884,3.0,0.0,2.0
885,1.0,0.0,0.0
886,3.0,0.0,2.0
887,1.0,0.0,0.0
888,1.0,0.0,0.0
889,3.0,0.0,2.0
890,3.0,0.0,2.0
891,1.0,0.0,0.0
892,4.0,0.0,3.0
893,3.0,0.0,2.0
894,1.0,0.0,0.0
895,1.0,0.0,0.0
896,4.0,0.0,3.0
897,1.0,0.0,0.0
898,3.0,0.0,2.0
899,1.0,0.0,0.0
900,4.0,0.0,3.0
901,4.0,0.0,3.0
902,1.0,0.0,0.0
903,1.0,0.0,0.0
904,1.0,0.0,0.0
905,1.0,0.0,0.0
906,4.0,0.0,3.0
907,4.0,0.0,3.0
908,2.0,0.0,1.0
909,1.0,0.0,0.0
910,1.0,0.0,0.0
911,1.0,0.0,0.0
912,1.0,0.0,0.0
913,1.0,0.0,0.0
914,3.0,0.0,2.0
915,1.0,0.0,0.0
916,2.0,0.0,1.0
917,1.0,0.0,0.0
918,3.0,0.0,2.0
919,1.0,0.0,0.0
920,3.0,0.0,2.0
921,3.0,0.0,2.0
922,1.0,0.0,0.0
923,1.0,0.0,0.0
924,1.0,0.0,0.0
925,1.0,0.0,0.0
926,1.0,0.0,0.0
927,1.0,0.0,0.0
928,1.0,0.0,0.0
929,1.0,0.0,0.0
930,1.0,0.0,0.0
931,3.0,0.0,2.0
932,3.0,0.0,2.0
933,1.0,0.0,0.0
934,3.0,0.0,2.0
935,1.0,0.0,0.0
936,1.0,0.0,0.0
937,1.0,0.0,0.0
938,3.0,0.0,2.0
939,4.0,0.0,3.0
940,4.0,0.0,3.0
941,1.0,0.0,0.0
942,1.0,0.0,0.0
943,3.0,0.0,2.0
944,1.0,0.0,0.0
945,1.0,0.0,0.0
946,4.0,0.0,3.0
947,1.0,0.0,0.0
948,1.0,0.0,0.0
949,1.0,0.0,0.0
950,1.0,0.0,0.0
951,3.0,0.0,2.0
952,3.0,0.0,2.0
953,4.0,0.0,3.0
954,3.0,0.0,2.0
955,1.0,0.0,0.0
956,2.0,0.0,1.0
957,2.0,0.0,1.0
958,3.0,0.0,2.0
959,3.0,0.0,2.0
960,3.0,0.0,2.0
961,3.0,0.0,2.0
962,3.0,0.0,2.0
963,1.0,0.0,0.0
964,1.0,0.0,0.0
965,2.0,0.0,1.0
966,1.0,0.0,0.0
967,1.0,0.0,0.0
968,3.0,0.0,2.0
969,3.0,0.0,2.0
970,3.0,0.0,2.0
971,3.0,0.0,2.0
972,1.0,0.0,0.0
973,1.0,0.0,0.0
974,1.0,0.0,0.0
975,4.0,0.0,3.0
976,1.0,0.0,0.0
977,0.0,0.0,4.0
978,1.0,0.0,0.0
979,3.0,0.0,2.0
980,1.0,0.0,0.0
981,1.0,0.0,0.0
982,3.0,0.0,2.0
983,1.0,0.0,0.0
984,3.0,0.0,2.0
985,1.0,0.0,0.0
986,1.0,0.0,0.0
987,3.0,0.0,2.0
988,3.0,0.0,2.0
989,1.0,0.0,0.0
990,1.0,0.0,0.0
991,1.0,0.0,0.0
992,1.0,0.0,0.0
993,1.0,0.0,0.0
994,3.0,0.0,2.0
